employee_id,full_name,department,job_title,hire_date,termination_date,salary,age,gender,performance_score
1,Albano Llopis Hierro,Tecnología,Desarrollador Junior,2025-02-27,,29496,36,F,3.3
2,Buenaventura de Bonet,Finanzas,Responsable Financiero,2025-02-25,,49295,27,M,4.5
3,Ileana Antón-Andrés,Ventas,Comercial Junior,2022-03-24,2023-01-18,24304,60,F,3.6
4,César Guerrero Vazquez,Atención al Cliente,Responsable de Atención al Cliente,2024-08-23,,37347,48,F,3.0
5,Alba Mar Flor Rivas,Atención al Cliente,Agente Senior,2025-07-16,,25649,32,M,3.0
6,Jacobo del Agudo,Operaciones,Técnico de Operaciones,2022-03-17,,22729,43,F,1.6
7,Paco Rocamora Nieto,Ventas,Comercial Junior,2023-01-06,,25291,60,M,4.0
8,Casemiro Garrido-Navarro,Finanzas,Responsable Financiero,2023-07-30,,44952,46,F,3.1
9,Arturo Pinto Caballero,Atención al Cliente,Responsable de Atención al Cliente,2024-06-20,,35010,45,F,2.9
10,Soraya Núñez Lamas,Tecnología,Desarrollador Junior,2024-09-16,,26860,40,F,3.0
11,Pánfilo Segovia Casanovas,Marketing,Especialista de Marketing,2023-02-18,,25998,45,F,5.0
12,Ani Marcos Pardo,Operaciones,Técnico de Operaciones,2024-10-04,,23828,26,F,3.5
13,Celia Baños-Arroyo,Atención al Cliente,Agente de Soporte,2021-12-01,,20656,39,F,3.0
14,Rolando del Bernal,Tecnología,Desarrollador Junior,2022-04-15,,29947,42,M,3.6
15,Toribio de Pinto,Operaciones,Técnico de Operaciones,2026-02-14,,22970,42,F,2.7
16,Javi Patiño-Cánovas,Tecnología,Desarrollador Senior,2025-12-17,,38730,51,F,3.0
17,Felicidad Gallego Lasa,Operaciones,Técnico de Operaciones,2025-03-06,,23495,38,M,3.2
18,Marco Donoso Hierro,Marketing,Marketing Senior,2023-01-12,,32954,30,M,2.5
19,Jerónimo Pino Lerma,Ventas,Comercial Junior,2025-10-30,,23393,32,M,3.5
20,Constanza del Barba,Atención al Cliente,Agente Senior,2023-02-21,,26492,51,M,3.5
21,Segismundo de Moles,RRHH,Técnico de RRHH,2024-10-25,,24403,56,M,3.2
22,Edelmira Batalla Galván,Finanzas,Analista Senior,2021-08-17,,34028,32,M,2.9
23,Valentina Miranda-Garcia,Ventas,Responsable de Ventas,2025-11-29,,42232,54,F,4.1
24,Gertrudis Segarra Clavero,Atención al Cliente,Agente de Soporte,2025-11-18,,21229,54,F,2.2
25,Buenaventura Huerta-Jódar,Ventas,Comercial Junior,2024-01-10,,24770,55,F,3.1
26,Inés Pujol-Paredes,Atención al Cliente,Agente Senior,2021-02-09,2021-09-07,26407,45,M,3.8
27,Bruno del Bou,Operaciones,Técnico de Operaciones,2025-12-04,,24239,27,F,4.0
28,Tito Canals Coronado,Finanzas,Analista Financiero,2026-06-26,,28754,30,F,3.3
29,Ruy Roca Bartolomé,Tecnología,Responsable de Tecnología,2021-12-05,,50753,60,M,2.3
30,Francisca Solé Ángel,RRHH,Responsable de RRHH,2025-03-27,,43149,34,M,3.3
31,Leonel Alberdi-Carbó,Atención al Cliente,Responsable de Atención al Cliente,2024-08-23,,35452,55,M,4.2
32,Pili del Nieto,Ventas,Comercial Junior,2021-05-12,,23751,59,F,4.0
33,Eugenio Royo Cruz,Atención al Cliente,Agente de Soporte,2021-05-26,,21197,25,F,2.7
34,Abril Lago Valle,Ventas,Comercial Junior,2025-10-27,,24436,54,F,4.1
35,José Luis Camino Martín,Operaciones,Coordinador de Operaciones,2022-03-15,,31428,58,M,4.4
36,María Fernanda Flor,Operaciones,Coordinador de Operaciones,2025-07-12,,30894,28,F,5.0
37,Glauco Cuéllar Abascal,Tecnología,Desarrollador Senior,2023-05-18,,37466,25,F,3.1
38,Etelvina Laura Aliaga Caparrós,Ventas,Responsable de Ventas,2022-11-26,,42898,28,F,2.4
39,Valeria Meléndez Heras,Operaciones,Responsable de Operaciones,2023-07-08,2025-06-27,40633,33,M,3.6
40,Dionisio Bermúdez Boada,Atención al Cliente,Agente de Soporte,2023-06-27,,21985,57,F,3.0
41,Sabina Bayón Casas,Ventas,Responsable de Ventas,2025-09-09,2026-03-08,42163,27,F,3.8
42,Narciso Talavera Dalmau,Ventas,Comercial Senior,2023-09-13,2025-11-01,31293,47,F,3.8
43,Juan Luis Rocha-Galán,Ventas,Comercial Junior,2023-03-11,,24580,51,M,4.1
44,Priscila de Mesa,Atención al Cliente,Responsable de Atención al Cliente,2025-05-24,,35063,53,F,3.2
45,Nazaret Perea Ríos,Operaciones,Técnico de Operaciones,2026-06-07,,22280,56,F,1.5
46,Jennifer Carrillo,Finanzas,Analista Financiero,2021-04-13,,28345,54,F,3.1
47,Daniel de Neira,Ventas,Responsable de Ventas,2021-06-14,,42518,26,F,3.7
48,Macario Grau Giménez,Tecnología,Desarrollador Junior,2023-04-07,,28833,58,F,3.6
49,Andrés Felipe Barral Granados,Atención al Cliente,Agente de Soporte,2024-06-22,2024-08-21,21171,59,M,3.3
50,Víctor Angulo Murillo,RRHH,Técnico de RRHH,2024-10-03,,22901,37,M,3.4
51,José Ángel Gárate Lopez,Atención al Cliente,Responsable de Atención al Cliente,2024-08-14,2025-09-08,39284,42,F,3.7
52,Clotilde Catalán Suárez,Ventas,Responsable de Ventas,2024-02-28,,42568,26,F,3.0
53,Ruben del Ramírez,Atención al Cliente,Agente de Soporte,2026-03-27,,20719,26,F,3.6
54,Asdrubal Caballero,Operaciones,Técnico de Operaciones,2023-06-17,,23493,41,F,3.9
55,Felicidad Roda Reig,Tecnología,Responsable de Tecnología,2022-09-06,,49700,28,F,2.9
56,Teresa Balaguer Cabello,Operaciones,Técnico de Operaciones,2025-03-01,,24144,39,M,2.8
57,Heriberto Nicolau Canales,Tecnología,Responsable de Tecnología,2022-12-04,,54768,38,M,4.4
58,Clemente de Sanabria,Operaciones,Técnico de Operaciones,2021-07-09,,24660,39,F,2.8
59,Héctor Español Lopez,Ventas,Comercial Junior,2024-07-28,,24564,32,M,3.1
60,Diana Benet Salazar,Atención al Cliente,Agente Senior,2024-02-23,2026-01-13,26066,26,F,3.0
61,Ariel de Alcolea,Atención al Cliente,Agente Senior,2024-04-07,,24966,49,F,3.4
62,Renato Guzmán Delgado,Ventas,Comercial Senior,2026-01-16,,30583,24,M,3.7
63,Julieta Teruel García,Operaciones,Técnico de Operaciones,2024-09-27,2025-03-26,24791,57,M,3.1
64,Yaiza Barral Cózar,RRHH,Responsable de RRHH,2021-11-13,,40171,37,F,3.2
65,Abril Portero Lara,RRHH,Técnico de RRHH,2025-12-11,,24963,33,M,4.1
